gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,7,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),48.7,2945,Yes
Female,0,No,No,66,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,25.15,1178,No
Male,0,Yes,Yes,51,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,76.4,3390,No
Female,0,Yes,Yes,30,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,19.55,4969,No
Female,0,No,No,34,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),85.35,2500,No
Male,0,Yes,Yes,64,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24.8,932,No
Male,1,Yes,No,65,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,103.15,5374,No
Male,0,No,No,47,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),100.75,3948,No
Female,0,No,No,1,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.6,6445,Yes
Female,0,No,No,49,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,59.75,2537,Yes
Female,0,Yes,Yes,67,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Two year,No,Mailed check,94.1,5097,No
Male,0,No,Yes,39,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,19.35,5904,No
Male,0,No,No,14,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),19.9,2444,No
Female,1,No,No,43,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,108.15,3911,Yes
Male,1,No,No,56,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),101.05,4629,No
Female,0,No,No,14,Yes,No,DSL,No,No,No,No internet service,No,No internet service,One year,No,Mailed check,59.1,5880,No
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),71.35,5569,Yes
Male,0,Yes,Yes,16,Yes,No,DSL,No internet service,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),55.85,6236,No
Male,0,Yes,Yes,70,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.05,5804,No
Male,1,Yes,No,72,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,84.1,4900,No
Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,75.3,1202,No
Male,0,No,Yes,21,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),24.7,3949,No
Female,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),20.15,1609,Yes
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.75,5451,Yes
Female,1,Yes,No,32,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.2,2534,Yes
Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),80.85,735,Yes
Female,0,No,No,4,No,Yes,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33.65,667,Yes
Female,0,No,No,36,Yes,No phone service,DSL,No,No,No internet service,No,No,No,One year,No,Bank transfer (automatic),55.8,1546,No
Female,0,No,No,50,No,Yes,DSL,No,No internet service,No internet service,No internet service,No,No,Two year,No,Mailed check,39.7,1535,No
Female,0,Yes,Yes,48,No,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,29.5,777,No
Female,0,No,Yes,50,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,20.15,6487,No
Male,0,Yes,No,72,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,79.55,4790,No
Male,0,No,Yes,10,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,24.8,1865,No
Female,0,No,No,18,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),19.65,3349,No
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),79.95,5975,Yes
Female,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),19.3,1481,Yes
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.05,6069,No
Male,0,No,No,2,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),90.75,1254,No
Female,0,Yes,No,40,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,78.85,2717,No
Male,0,Yes,No,69,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,No,Electronic check,99.5,5405,No
Female,0,Yes,No,37,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),99.2,3225,Yes
Male,0,No,Yes,18,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,80.55,743,No
Male,1,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.2,6157,No
Female,0,Yes,No,8,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,85.2,5074,Yes
Female,0,No,No,3,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.25,2063,Yes
Male,0,Yes,Yes,55,Yes,No,DSL,No internet service,No,No,No,No,No internet service,One year,No,Mailed check,59.45,2740,No
Male,0,Yes,No,33,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.35,2689,No
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.95,1781,No
Male,0,No,No,34,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,26.1,6502,No
Female,0,No,No,3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.2,5207,No
Male,0,Yes,Yes,30,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),21.25,5578,No
Female,0,No,No,33,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No,One year,No,Bank transfer (automatic),59.4,1556,No
Male,0,Yes,Yes,45,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No internet service,One year,Yes,Mailed check,95.0,3709,No
Male,0,No,No,40,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),61.9,2291,No
Female,0,No,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),118.65,6201,No
Male,0,No,No,1,Yes,No phone service,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),54.35,4487,Yes
Female,0,Yes,Yes,72,No,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,64.45,3855,No
Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.15,1331,No
Male,0,Yes,Yes,46,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,20.2,6192,No
Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),21.0,384,No
Male,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.45,1615,No
Female,0,No,No,12,Yes,No phone service,DSL,No,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),75.85,6222,No
Male,0,No,No,31,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.45,2077,No
Male,0,Yes,No,5,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24.95,4,Yes
Female,0,Yes,Yes,67,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),75.5,4379,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.45,3742,No
Male,0,Yes,No,40,No,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),42.35,1221,Yes
Male,0,Yes,Yes,41,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,74.55,2626,No
Male,0,No,No,1,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,5769,Yes
Male,0,No,No,51,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),94.8,4083,Yes
Male,0,Yes,Yes,42,No,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,48.15,1666,No
Male,0,Yes,Yes,23,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),19.65,3704,No
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.55,5512,Yes
Female,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.15,1609,No
Female,0,No,No,56,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,106.6,4835,No
Male,0,No,Yes,15,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),91.0,797,No
Male,0,Yes,Yes,12,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,25.4,2719,No
Female,0,Yes,Yes,54,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No internet service,Two year,No,Electronic check,69.95,3313,No
Female,0,No,No,7,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),66.85,3895,No
Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,86.15,2385,Yes
Male,0,Yes,Yes,16,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.15,2952,No
Female,0,No,Yes,21,Yes,No,DSL,No internet service,No,No internet service,No,No,No internet service,One year,No,Credit card (automatic),64.85,610,No
Male,1,Yes,No,30,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),74.85,1797,No
Male,0,No,No,3,Yes,No,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),50.5,867,No
Male,0,No,No,11,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),72.9,6091,No
Female,0,No,No,62,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,115.05,5597,No
Male,0,No,No,18,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),19.0,3016,No
Male,0,No,Yes,6,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),19.55,513,No
Female,0,No,No,46,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),101.1,3956,No
Male,0,No,No,21,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.1,1246,No
Male,0,No,No,68,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,24.15,901,No
Female,0,No,No,1,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.1,4225,No
Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,1338,No
Female,0,No,Yes,24,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),19.75,4211,No
Female,0,Yes,No,30,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),85.0,2271,Yes
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),80.55,1395,Yes
Male,0,Yes,No,51,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,106.8,4557,No
Female,0,Yes,Yes,57,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),84.5,4086,No
Female,0,No,No,15,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,25.05,3180,No
Female,0,Yes,Yes,72,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,83.7,4980,No
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,1056,Yes
Male,0,Yes,No,28,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,96.6,2335,No
Male,1,Yes,No,29,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.5,2601,Yes
Male,0,Yes,Yes,70,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,101.1,5498,No
Female,0,No,No,13,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),20.2,2375,No
Female,1,Yes,No,59,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),94.05,4550,No
Male,1,Yes,No,13,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.25,428,Yes
Male,1,Yes,No,7,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,4411,Yes
Female,0,Yes,No,62,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),81.0,4217,No
Female,0,No,No,21,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),60.25,470,No
Female,0,No,No,2,Yes,No,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),60.85,210,No
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,43.95,3661,No
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),86.05,2672,No
Female,0,No,No,19,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,20.25,3279,No
Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),85.15,2214,Yes
Male,0,Yes,Yes,67,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,19.4,517,No
Male,1,Yes,No,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Two year,Yes,Mailed check,102.65,5802,No
Male,0,Yes,No,53,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,19.9,212,No
Female,0,No,No,5,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),19.55,6510,No
Male,1,Yes,No,71,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,95.5,5323,No
Female,0,Yes,Yes,50,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,84.15,3560,No
Male,0,Yes,Yes,56,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),103.2,4825,No
Male,0,No,No,2,Yes,No,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,50.2,174,No
Female,1,No,No,2,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.55,1325,Yes
Male,0,Yes,Yes,24,Yes,No phone service,DSL,No internet service,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),54.75,614,Yes
Male,0,Yes,Yes,46,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,19.95,6245,No
Male,0,Yes,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),116.25,6232,No
Female,0,No,No,29,No,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),31.2,6380,No
Male,0,Yes,Yes,69,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,24.45,1222,No
Male,0,Yes,No,71,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,84.2,4880,No
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),91.3,6344,Yes
Male,1,Yes,No,56,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,85.65,4076,No
Male,0,No,Yes,56,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),21.2,437,No
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),79.5,5968,Yes
Female,0,Yes,No,28,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),25.55,5329,No
Female,0,Yes,Yes,19,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.2,3271,No
Male,0,Yes,No,66,Yes,No phone service,DSL,No,No,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),63.85,3635,No
Female,0,Yes,Yes,17,Yes,No phone service,DSL,No,No,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),61.95,140,No
Male,0,Yes,Yes,52,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),25.75,630,No
Female,0,No,No,19,Yes,No,DSL,No,No internet service,No,No,No internet service,No,One year,No,Bank transfer (automatic),58.2,87,No
Female,0,No,No,36,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,85.85,2600,No
Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.1,3951,Yes
Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,104.9,5790,No
Male,0,Yes,Yes,67,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),111.3,5762,Yes
Male,1,No,No,34,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),99.85,2901,No
Male,1,Yes,No,57,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,95.25,4507,Yes
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),86.25,4821,Yes
Female,1,Yes,No,1,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.8,5,Yes
Male,0,Yes,No,8,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,19.55,1066,No
Female,0,No,No,69,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),104.0,5532,No
Female,0,Yes,No,50,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),104.4,4386,No
Male,0,No,No,10,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),19.5,1888,No
Female,0,Yes,Yes,12,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,25.25,2382,No
Female,0,No,No,14,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.3,338,Yes
Female,0,Yes,No,70,No,Yes,DSL,No internet service,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,49.85,2926,No
Female,1,No,No,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,108.95,5581,No
Female,0,Yes,Yes,66,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,89.9,4882,No
Female,0,Yes,Yes,71,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,82.0,4909,No
Male,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),89.95,1124,No
Male,0,Yes,No,72,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,79.35,4750,No
Female,0,Yes,Yes,71,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Two year,No,Mailed check,64.05,3807,No
Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,101.15,3381,No
Female,0,No,No,28,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.95,2273,Yes
Male,1,Yes,No,17,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.45,427,Yes
Male,0,No,No,33,No,Yes,DSL,No,No internet service,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),39.1,566,No
Female,0,Yes,Yes,23,No,Yes,DSL,No internet service,No,No,No internet service,No,No,Two year,No,Credit card (automatic),34.6,6078,No
Male,0,Yes,Yes,58,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),19.55,208,No
Female,1,Yes,No,70,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,104.45,5694,No
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.5,2541,No
Male,0,Yes,Yes,45,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),20.35,6387,No
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.0,5726,Yes
Male,0,Yes,Yes,36,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,19.45,5792,No
Male,0,No,No,54,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),69.9,3322,No
Male,0,Yes,Yes,23,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Credit card (automatic),59.7,759,No
Female,0,Yes,Yes,41,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,One year,Yes,Mailed check,78.35,2796,No
Male,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.45,3199,No
Male,0,Yes,Yes,27,No,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,One year,Yes,Mailed check,45.85,450,No
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.85,6447,No
Female,0,Yes,Yes,67,No,Yes,DSL,No internet service,No,No,No internet service,No,No,Two year,No,Mailed check,35.7,2197,No
Female,1,Yes,Yes,72,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,89.55,5185,No
Female,0,Yes,Yes,56,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,24.95,863,No
Male,0,Yes,Yes,44,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),24.85,32,No
Female,1,Yes,No,66,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.8,5312,No
Female,0,No,No,34,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),64.4,1716,Yes
Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,105.35,5639,No
Female,0,Yes,Yes,1,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.45,36,Yes
Female,0,No,No,40,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,19.65,6134,No
Male,0,Yes,Yes,30,Yes,No phone service,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.45,1040,No
Female,0,No,No,11,Yes,No,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),70.5,6128,No
Female,0,No,No,15,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,20.1,2620,No
Male,0,No,No,11,Yes,No,DSL,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),69.35,5586,No
Female,0,Yes,Yes,64,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,19.8,609,No
